"Miles_per_Gallon","Cylinders","Origin","Weight_in_lbs","Displacement","Acceleration","Name","Year","Horsepower"
26.6,4,"USA",2635,151.0,16.4,"buick skylark","1982-01-01",84
25.8,4,"USA",2620,156.0,14.4,"dodge aries wagon (sw)","1982-01-01",92
23.5,6,"USA",2725,173.0,12.6,"chevrolet citation","1982-01-01",110
30.0,4,"USA",2385,135.0,12.9,"plymouth reliant","1982-01-01",84
39.1,4,"Japan",1755,79.0,16.9,"toyota starlet","1982-01-01",58
39.0,4,"USA",1875,86.0,16.4,"plymouth champ","1982-01-01",64
35.1,4,"Japan",1760,81.0,16.1,"honda civic 1300","1982-01-01",60
32.3,4,"Japan",2065,97.0,17.8,"subaru","1982-01-01",67
37.0,4,"Japan",1975,85.0,19.4,"datsun 210","1982-01-01",65
37.7,4,"Japan",2050,89.0,17.3,"toyota tercel","1982-01-01",62
34.1,4,"Japan",1985,91.0,16.0,"mazda glc 4","1982-01-01",68
34.7,4,"USA",2215,105.0,14.9,"plymouth horizon 4","1982-01-01",63
34.4,4,"USA",2045,98.0,16.2,"ford escort 4w","1982-01-01",65
29.9,4,"USA",2380,98.0,20.7,"ford escort 2h","1982-01-01",65
33.0,4,"Europe",2190,105.0,14.2,"volkswagen jetta","1982-01-01",74
34.5,4,"Europe",2320,100.0,15.8,"renault 18i","1982-01-01",NA
33.7,4,"Japan",2210,107.0,14.4,"honda prelude","1982-01-01",75
32.4,4,"Japan",2350,108.0,16.8,"toyota corolla","1982-01-01",75
32.9,4,"Japan",2615,119.0,14.8,"datsun 200sx","1982-01-01",100
31.6,4,"Japan",2635,120.0,18.3,"mazda 626","1982-01-01",74
28.1,4,"Europe",3230,141.0,20.4,"peugeot 505s turbo diesel","1982-01-01",80
NA,4,"Europe",2800,121.0,15.4,"saab 900s","1982-01-01",110
30.7,6,"Europe",3160,145.0,19.6,"volvo diesel","1982-01-01",76
25.4,6,"Japan",2900,168.0,12.6,"toyota cressida","1982-01-01",116
24.2,6,"Japan",2930,146.0,13.8,"datsun 810 maxima","1982-01-01",120
22.4,6,"USA",3415,231.0,15.8,"buick century","1982-01-01",110
26.6,8,"USA",3725,350.0,19.0,"oldsmobile cutlass ls","1982-01-01",105
20.2,6,"USA",3060,200.0,17.1,"ford granada gl","1982-01-01",88
17.6,6,"USA",3465,225.0,16.6,"chrysler lebaron salon","1982-01-01",85
28.0,4,"USA",2605,112.0,19.6,"chevrolet cavalier","1982-01-01",88
27.0,4,"USA",2640,112.0,18.6,"chevrolet cavalier wagon","1982-01-01",88
34.0,4,"USA",2395,112.0,18.0,"chevrolet cavalier 2-door","1982-01-01",88
31.0,4,"USA",2575,112.0,16.2,"pontiac j2000 se hatchback","1982-01-01",85
29.0,4,"USA",2525,135.0,16.0,"dodge aries se","1982-01-01",84
27.0,4,"USA",2735,151.0,18.0,"pontiac phoenix","1982-01-01",90
24.0,4,"USA",2865,140.0,16.4,"ford fairmont futura","1982-01-01",92
23.0,4,"USA",3035,151.0,20.5,"amc concord dl","1982-01-01",NA
36.0,4,"Europe",1980,105.0,15.3,"volkswagen rabbit l","1982-01-01",74
37.0,4,"Japan",2025,91.0,18.2,"mazda glc custom l","1982-01-01",68
31.0,4,"Japan",1970,91.0,17.6,"mazda glc custom","1982-01-01",68
38.0,4,"USA",2125,105.0,14.7,"plymouth horizon miser","1982-01-01",63
36.0,4,"USA",2125,98.0,17.3,"mercury lynx l","1982-01-01",70
36.0,4,"Japan",2160,120.0,14.5,"nissan stanza xe","1982-01-01",88
36.0,4,"Japan",2205,107.0,14.5,"honda Accelerationord","1982-01-01",75
34.0,4,"Japan",2245,108.0,16.9,"toyota corolla","1982-01-01",70
38.0,4,"Japan",1965,91.0,15.0,"honda civic","1982-01-01",67
32.0,4,"Japan",1965,91.0,15.7,"honda civic (auto)","1982-01-01",67
38.0,4,"Japan",1995,91.0,16.2,"datsun 310 gx","1982-01-01",67
25.0,6,"USA",2945,181.0,16.4,"buick century limited","1982-01-01",110
38.0,6,"USA",3015,262.0,17.0,"oldsmobile cutlass ciera (diesel)","1982-01-01",85
26.0,4,"USA",2585,156.0,14.5,"chrysler lebaron medallion","1982-01-01",92
22.0,6,"USA",2835,232.0,14.7,"ford granada l","1982-01-01",112
32.0,4,"Japan",2665,144.0,13.9,"toyota celica gt","1982-01-01",96
36.0,4,"USA",2370,135.0,13.0,"dodge charger 2.2","1982-01-01",84
27.0,4,"USA",2950,151.0,17.3,"chevrolet camaro","1982-01-01",90
27.0,4,"USA",2790,140.0,15.6,"ford mustang gl","1982-01-01",86
44.0,4,"Europe",2130,97.0,24.6,"vw pickup","1982-01-01",52
32.0,4,"USA",2295,135.0,11.6,"dodge rampage","1982-01-01",84
28.0,4,"USA",2625,120.0,18.6,"ford ranger","1982-01-01",79
31.0,4,"USA",2720,119.0,19.4,"chevy s-10","1982-01-01",82
